row,item,version,letter,sentence,sentence_spr,im_jahr,year,future,pp,det_nom,objnp,qm1,fact,qm2,verb,comma,spillover_verb,name,real_name,wrong_name,name_match,spillover_pp,full_sentence,condition,list,life_status,yes_F,yes_J,life_mismatch,fact_mismatch,type,created,occupation,file_name,year_time,fact_time,year_fact
1,1,1,a,1a,"Im Jahr*2001*werde ich*in dem Film*„Harry Potter und der Stein der Weisen“*auftreten,*das behauptete*Emma Watson*in einem Interview.",Im Jahr,2001,werde ich,in dem,Der,Film,„,Harry Potter und der Stein der Weisen,“,auftreten,",",das behauptete,Emma Watson,Emma Watson,Russell Crowe,yes,in einem Interview.,"Im Jahr 2001 werde ich in dem Film ""Harry Potter und der Stein der Weisen"" auftreten, das behauptete Emma Watson in einem Interview.",full match,11,alive,F,J,match,match,critical,DP,Actors,Emma_Watson.jpg,new,new,match
2,1,3,a,3a,"Im Jahr*1939*werde ich*in dem Film*„Der Zauberer von Oz“*auftreten,*das behauptete*Judy Garland*in einem Interview.",Im Jahr,1939,werde ich,in dem,Der,Film,„,Der Zauberer von Oz,“,auftreten,",",das behauptete,Judy Garland,Judy Garland,Humphrey Bogart,yes,in einem Interview.,"Im Jahr 1939 werde ich in dem Film ""Der Zauberer von Oz"" auftreten, das behauptete Judy Garland in einem Interview.",full match,11,dead,F,J,match,match,critical,DP,Actors,Judy_Garland.jpg,old,old,match
3,2,6,d,6d,"Im Jahr*2018*werde ich*das Lied*„Thriller“*aufnehmen,*das verkündete*David Bowie*gegenüber der Presse.",Im Jahr,2018,werde ich,das,Das,Lied,„,Thriller,“,aufnehmen,",",das verkündete,Michael Jackson,David Bowie,Michael Jackson,no,gegenüber der Presse.,"Im Jahr 2018 werde ich das Lied ""Thriller"" aufnehmen, das verkündete David Bowie gegenüber der Presse.",life-fact mismatch,11,dead,F,J,mismatch,mismatch,critical,DP,Musicians,David_Bowie.jpg,new,old,mismatch
4,2,8,d,8d,"Im Jahr*1982*werde ich*das Lied*„This Is America“*aufnehmen,*das verkündete*Namika*gegenüber der Presse.",Im Jahr,1982,werde ich,das,Das,Lied,„,This Is America,“,aufnehmen,",",das verkündete,Childish Gambino,Namika,Childish Gambino,no,gegenüber der Presse.,"Im Jahr 1982 werde ich das Lied ""This Is America"" aufnehmen, das verkündete Namika gegenüber der Presse.",life-fact mismatch,11,alive,F,J,mismatch,mismatch,critical,DP,Musicians,Namika.jpg,old,new,mismatch
5,3,10,c,10c,"Im Jahr*1997*werde ich*in dem Film*„Vom Winde verweht“*mitspielen,*das meinte*Clark Gable*zu einem Reporter.",Im Jahr,1997,werde ich,in dem,Der,Film,„,Vom Winde verweht,“,mitspielen,",",das meinte,Clark Gable,Clark Gable,James Dean,yes,zu einem Reporter.,"Im Jahr 1997 werde ich in dem Film ""Vom Winde verweht"" mitspielen, das meinte Clark Gable zu einem Reporter.",life mismatch,11,dead,F,J,mismatch,match,critical,DP,Actors,Clark_Gable.jpg,new,old,mismatch
6,3,12,c,12c,"Im Jahr*1940*werde ich*in dem Film*„Austin Powers“*mitspielen,*das meinte*Mike Myers*zu einem Reporter.",Im Jahr,1940,werde ich,in dem,Der,Film,„,Austin Powers,“,mitspielen,",",das meinte,Mike Myers,Mike Myers,George Clooney,yes,zu einem Reporter.,"Im Jahr 1940 werde ich in dem Film ""Austin Powers"" mitspielen, das meinte Mike Myers zu einem Reporter.",life mismatch,11,alive,F,J,mismatch,match,critical,DP,Actors,Mike_Myers.jpg,old,new,mismatch
7,4,14,b,14b,"Im Jahr*1977*werde ich*das Buch*„The Handmaid's Tale“*schreiben,*das erzählte*Stephen King*einer Tageszeitung.",Im Jahr,1977,werde ich,das,Das,Buch,„,The Handmaid's Tale,“,schreiben,",",das erzählte,Margaret Atwood,Stephen King,Margaret Atwood,no,einer Tageszeitung.,"Im Jahr 1977 werde ich das Buch ""The Handmaid's Tale"" schreiben, das erzählte Stephen King einer Tageszeitung.",fact mismatch,11,alive,F,J,match,mismatch,critical,DP,Authors,Stephen_King.jpg,new,new,match
8,4,16,b,16b,"Im Jahr*1929*werde ich*das Buch*„In einem andern Land“*schreiben,*das erzählte*Virginia Woolf*einer Tageszeitung.",Im Jahr,1929,werde ich,das,Das,Buch,„,In einem andern Land,“,schreiben,",",das erzählte,Ernest Hemingway,Virginia Woolf,Ernest Hemingway,no,einer Tageszeitung.,"Im Jahr 1929 werde ich das Buch ""In einem andern Land"" schreiben, das erzählte Virginia Woolf einer Tageszeitung.",fact mismatch,11,dead,F,J,match,mismatch,critical,DP,Authors,Virginia_Woolf.jpg,old,old,match
9,5,18,a,18a,"Im Jahr*2000*werde ich*in dem Film*„Pulp Fiction“*zu sehen sein,*das stellte*Uma Thurmann*in einem Interview fest.",Im Jahr,2000,werde ich,in dem,Der,Film,„,Pulp Fiction,“,zu sehen sein,",",das stellte,Uma Thurmann,Uma Thurmann,Kate Winslet,yes,in einem Interview fest.,"Im Jahr 2000 werde ich in dem Film ""Pulp Fiction"" zu sehen sein, das stellte Uma Thurmann in einem Interview fest.",full match,11,alive,F,J,match,match,critical,DP,Actors,Uma_Thurman.jpg,new,new,match
10,5,20,a,20a,"Im Jahr*1959*werde ich*in dem Film*„Manche mögen's heiß“*zu sehen sein,*das stellte*Marilyn Monroe*in einem Interview fest.",Im Jahr,1959,werde ich,in dem,Der,Film,„,Manche mögen's heiß,“,zu sehen sein,",",das stellte,Marilyn Monroe,Marilyn Monroe,Jimmy Stewart,yes,in einem Interview fest.,"Im Jahr 1959 werde ich in dem Film ""Manche mögen's heiß"" zu sehen sein, das stellte Marilyn Monroe in einem Interview fest.",full match,11,dead,F,J,match,match,critical,DP,Actors,Marilyn_Monroe.jpg,old,old,match
11,6,21,d,21d,"Im Jahr*2004*werde ich*bei dem Film*„Psycho“*Regie führen,*das versicherte*Stanley Kubrick*einem Reporter.",Im Jahr,2004,werde ich,bei dem,Der,Film,„,Psycho,“,Regie führen,",",das versicherte,Alfred Hitchcock,Stanley Kubrick,Alfred Hitchcock,no,einem Reporter.,"Im Jahr 2004 werde ich bei dem Film ""Psycho"" Regie führen, das versicherte Stanley Kubrick einem Reporter.",life-fact mismatch,11,dead,F,J,mismatch,mismatch,critical,PM,Directors,Stanley_Kubrick.jpg,new,old,mismatch
12,6,23,d,23d,"Im Jahr*1960*werde ich*bei dem Film*„Shaun of the Dead“*Regie führen,*das versicherte*Quentin Tarantino*einem Reporter.",Im Jahr,1960,werde ich,bei dem,Der,Film,„,Shaun of the Dead,“,Regie führen,",",das versicherte,Edgar Wright,Quentin Tarantino,Edgar Wright,no,einem Reporter.,"Im Jahr 1960 werde ich bei dem Film ""Shaun of the Dead"" Regie führen, das versicherte Quentin Tarantino einem Reporter.",life-fact mismatch,11,alive,F,J,mismatch,mismatch,critical,PM,Directors,Quentin_Tarantino.jpg,old,new,mismatch
13,7,25,c,25c,"Im Jahr*2020*werde ich*das Turnier im*Boxen*gewinnen,*das berichtete*Muhammad Ali*einer Nachrichtenagentur.",Im Jahr,2020,werde ich,das,Ein,Turnier im,,Boxen,,gewinnen,",",das berichtete,Muhammad Ali,Muhammad Ali,Niki Lauda,yes,einer Nachrichtenagentur.,"Im Jahr 2020 werde ich das Turnier im Boxen gewinnen, das berichtete Muhammad Ali einer Nachrichtenagentur.",life mismatch,11,dead,F,J,mismatch,match,critical,PM,Athletes,Muhammad_Ali.jpg,new,old,mismatch
14,7,27,c,27c,"Im Jahr*1975*werde ich*das Turnier im*Fußball*gewinnen,*das berichtete*Lionel Messi*einer Nachrichtenagentur.",Im Jahr,1975,werde ich,das,Ein,Turnier im,,Fußball,,gewinnen,",",das berichtete,Lionel Messi,Lionel Messi,Serena Williams,yes,einer Nachrichtenagentur.,"Im Jahr 1975 werde ich das Turnier im Fußball gewinnen, das berichtete Lionel Messi einer Nachrichtenagentur.",life mismatch,11,alive,F,J,mismatch,match,critical,PM,Athletes,Lionel_Messi.jpg,old,new,mismatch
15,8,29,b,29b,"Im Jahr*2019*werde ich*in dem Film*„Once Upon a Time in Hollywood“*auftreten,*das teilte*Joaquin Phoenix*einer Journalistin mit.",Im Jahr,2019,werde ich,in dem,Der,Film,„,Once Upon a Time in Hollywood,“,auftreten,",",das teilte,Brad Pitt,Joaquin Phoenix,Brad Pitt,no,einer Journalistin mit.,"Im Jahr 2019 werde ich in dem Film ""Once Upon a Time in Hollywood"" auftreten, das teilte Joaquin Phoenix einer Journalistin mit.",fact mismatch,11,alive,F,J,match,mismatch,critical,AP,Actors,Joaquin_Phoenix.jpg,new,new,match
16,8,31,b,31b,"Im Jahr*1963*werde ich*in dem Film*„Cleopatra“*auftreten,*das teilte*Romy Schneider*einer Journalistin mit.",Im Jahr,1963,werde ich,in dem,Der,Film,„,Cleopatra,“,auftreten,",",das teilte,Elizabeth Taylor,Romy Schneider,Elizabeth Taylor,no,einer Journalistin mit.,"Im Jahr 1963 werde ich in dem Film ""Cleopatra"" auftreten, das teilte Romy Schneider einer Journalistin mit.",fact mismatch,11,dead,F,J,match,mismatch,critical,AP,Actors,Romy_Schneider.jpg,old,old,match
17,9,33,a,33a,"Im Jahr*1990*werde ich*in dem Film*„Pretty Woman“*mitspielen,*das äußerte*Julia Roberts*gegenüber den Medien.",Im Jahr,1990,werde ich,in dem,Der,Film,„,Pretty Woman,“,mitspielen,",",das äußerte,Julia Roberts,Julia Roberts,Jonny Depp,yes,gegenüber den Medien.,"Im Jahr 1990 werde ich in dem Film ""Pretty Woman"" mitspielen, das äußerte Julia Roberts gegenüber den Medien.",full match,11,alive,F,J,match,match,critical,AP,Actors,Julia_Roberts.jpg,new,new,match
18,9,35,a,35a,"Im Jahr*1963*werde ich*in dem Film*„Dinner for One“*mitspielen,*das äußerte*May Warden*gegenüber den Medien.",Im Jahr,1963,werde ich,in dem,Der,Film,„,Dinner for One,“,mitspielen,",",das äußerte,May Warden,May Warden,Lex Barker,yes,gegenüber den Medien.,"Im Jahr 1963 werde ich in dem Film ""Dinner for One"" mitspielen, das äußerte May Warden gegenüber den Medien.",full match,11,dead,F,J,match,match,critical,AP,Actors,May_Warden.jpg,old,old,match
19,10,38,d,38d,"Im Jahr*2015*werde ich*in dem Film*„The Invisible Woman“*die Hauptrolle spielen,*das schilderte*Charlie Chaplin*interessierten Fans.",Im Jahr,2015,werde ich,in dem,Der,Film,„,The Invisible Woman,“,die Hauptrolle spielen,",",das schilderte,Joan Fontaine,Charlie Chaplin,Joan Fontaine,no,interessierten Fans.,"Im Jahr 2015 werde ich in dem Film ""The Invisible Woman"" die Hauptrolle spielen, das schilderte Charlie Chaplin interessierten Fans.",life-fact mismatch,11,dead,F,J,mismatch,mismatch,critical,AP,Actors,Charlie_Chaplin.jpg,new,old,mismatch
20,10,40,d,40d,"Im Jahr*1940*werde ich*in dem Film*„Die Tribute von Panem – Mockingjay“*die Hauptrolle spielen,*das schilderte*Arnold Schwarzenegger*interessierten Fans.",Im Jahr,1940,werde ich,in dem,Der,Film,„,Die Tribute von Panem – Mockingjay,“,die Hauptrolle spielen,",",das schilderte,Jennifer Lawrence,Arnold Schwarzenegger,Jennifer Lawrence,no,interessierten Fans.,"Im Jahr 1940 werde ich in dem Film ""Die Tribute von Panem – Mockingjay"" die Hauptrolle spielen, das schilderte Arnold Schwarzenegger interessierten Fans.",life-fact mismatch,11,alive,F,J,mismatch,mismatch,critical,AP,Actors,Arnold_Schwarzenegger.jpg,old,new,mismatch
21,11,42,c,42c,"Im Jahr*1998*werde ich*in dem Film*„Das süße Leben“*die Hauptrolle spielen,*das behauptete*Marcello Mastroianni*auf dem roten Teppich.",Im Jahr,1998,werde ich,in dem,Der,Film,„,Das süße Leben,“,die Hauptrolle spielen,",",das behauptete,Marcello Mastroianni,Marcello Mastroianni,Anthony Perkins,yes,auf dem roten Teppich.,"Im Jahr 1998 werde ich in dem Film ""Das süße Leben"" die Hauptrolle spielen, das behauptete Marcello Mastroianni auf dem roten Teppich.",life mismatch,11,dead,F,J,mismatch,match,critical,AP,Actors,Marcello_Mastroianni.jpg,new,old,mismatch
22,11,44,c,44c,"Im Jahr*1960*werde ich*in dem Film*„Lola rennt“*die Hauptrolle spielen,*das behauptete*Franka Potente*auf dem roten Teppich.",Im Jahr,1960,werde ich,in dem,Der,Film,„,Lola rennt,“,die Hauptrolle spielen,",",das behauptete,Franka Potente,Franka Potente,Adam Sandler,yes,auf dem roten Teppich.,"Im Jahr 1960 werde ich in dem Film ""Lola rennt"" die Hauptrolle spielen, das behauptete Franka Potente auf dem roten Teppich.",life mismatch,11,alive,F,J,mismatch,match,critical,AP,Actors,Franka_Potente.jpg,old,new,mismatch
23,12,46,b,46b,"Im Jahr*2020*werde ich*mein Engagement für die*Rechte junger Frauen*vorantreiben,*das verkündete*Greta Thunberg*auf einer Pressekonferenz.",Im Jahr,2020,werde ich,mein,,Engagement für die,,Rechte junger Frauen,,vorantreiben,",",das verkündete,Malala Yousafzai,Greta Thunberg,Malala Yousafzai,no,auf einer Pressekonferenz.,"Im Jahr 2020 werde ich mein Engagement für die ""Rechte junger Frauen"" vorantreiben, das verkündete Greta Thunberg auf einer Pressekonferenz.",fact mismatch,11,alive,F,J,match,mismatch,critical,PM,Activist,Greta_Thunberg.jpg,new,new,match
24,12,48,b,48b,"Im Jahr*1955*werde ich*mein Engagement für die*Abschaffung der Apartheid*vorantreiben,*das verkündete*Martin Luther King*auf einer Pressekonferenz.",Im Jahr,1955,werde ich,mein,,Engagement für die,,Abschaffung der Apartheid,,vorantreiben,",",das verkündete,Nelson Mandela,Martin Luther King,Nelson Mandela,no,auf einer Pressekonferenz.,"Im Jahr 1955 werde ich mein Engagement für die ""Abschaffung der Apartheid"" vorantreiben, das verkündete Martin Luther King auf einer Pressekonferenz.",fact mismatch,11,dead,F,J,match,mismatch,critical,PM,Activist,Martin_Luther_King.jpg,old,old,match
25,13,50,a,50a,"Im Jahr*2007*werde ich*den Film*„No Country for Old Men“*inszenieren,*das meinte*Ethan Coen*in einer Fragerunde.",Im Jahr,2007,werde ich,den,Der,Film,„,No Country for Old Men,“,inszenieren,",",das meinte,Ethan Coen,Ethan Coen,Michael Bay,yes,in einer Fragerunde.,"Im Jahr 2007 werde ich den Film ""No Country for Old Men"" inszenieren, das meinte Ethan Coen in einer Fragerunde.",full match,11,alive,F,J,match,match,critical,PM,Directors,Ethan_Coen.jpg,new,new,match
26,13,52,a,52a,"Im Jahr*1925*werde ich*den Film*„Metropolis“*inszenieren,*das meinte*Fritz Lang*in einer Fragerunde.",Im Jahr,1925,werde ich,den,Der,Film,„,Metropolis,“,inszenieren,",",das meinte,Fritz Lang,Fritz Lang,Sergei Eisenstein,yes,in einer Fragerunde.,"Im Jahr 1925 werde ich den Film ""Metropolis"" inszenieren, das meinte Fritz Lang in einer Fragerunde.",full match,11,dead,F,J,match,match,critical,PM,Directors,Fritz_Lang.jpg,old,old,match
27,14,53,d,53d,"Im Jahr*1991*werde ich*in dem Film*„Dracula“*zu sehen sein,*das erzählte*Boris Karloff*einer Nachrichtenagentur.",Im Jahr,1991,werde ich,in dem,Der,Film,„,Dracula,“,zu sehen sein,",",das erzählte,Bela Lugosi,Boris Karloff,Bela Lugosi,no,einer Nachrichtenagentur.,"Im Jahr 1991 werde ich in dem Film ""Dracula"" zu sehen sein, das erzählte Boris Karloff einer Nachrichtenagentur.",life-fact mismatch,11,dead,F,J,mismatch,mismatch,critical,PM,Actors,Boris_Karloff.jpg,new,old,mismatch
28,14,55,d,55d,"Im Jahr*1931*werde ich*in dem Film*„Das Schweigen der Lämmer“*zu sehen sein,*das erzählte*Robert Englund*einer Nachrichtenagentur.",Im Jahr,1931,werde ich,in dem,Der,Film,„,Das Schweigen der Lämmer,“,zu sehen sein,",",das erzählte,Sir Anthony Hopkins,Robert Englund,Sir Anthony Hopkins,no,einer Nachrichtenagentur.,"Im Jahr 1931 werde ich in dem Film ""Das Schweigen der Lämmer"" zu sehen sein, das erzählte Robert Englund einer Nachrichtenagentur.",life-fact mismatch,11,alive,F,J,mismatch,mismatch,critical,PM,Actors,Robert_Englund.jpg,old,new,mismatch
29,15,57,c,57c,"Im Jahr*2008*werde ich*das Buch*„Der große Gatsby“*abschließen,*das stellte*F. Scott Fitzgerald*nach einer Lesung fest.",Im Jahr,2008,werde ich,das,Das,Buch,„,Der große Gatsby,“,abschließen,",",das stellte,F. Scott Fitzgerald,F. Scott Fitzgerald,Franz Kafka,yes,nach einer Lesung fest.,"Im Jahr 2008 werde ich das Buch ""Der große Gatsby"" abschließen, das stellte F. Scott Fitzgerald nach einer Lesung fest.",life mismatch,11,dead,F,J,mismatch,match,critical,PM,Authors,F.Scott_Fitzgerald.jpg,new,old,mismatch
30,15,59,c,59c,"Im Jahr*1925*werde ich*das Buch*„Becks letzter Sommer“*abschließen,*das stellte*Benedikt Wells*nach einer Lesung fest.",Im Jahr,1925,werde ich,das,Das,Buch,„,Becks letzter Sommer,“,abschließen,",",das stellte,Benedikt Wells,Benedikt Wells,Charlotte Roche,yes,nach einer Lesung fest.,"Im Jahr 1925 werde ich das Buch ""Becks letzter Sommer"" abschließen, das stellte Benedikt Wells nach einer Lesung fest.",life mismatch,11,alive,F,J,mismatch,match,critical,PM,Authors,Benedikt_Wells.jpg,old,new,mismatch
31,16,61,b,61b,"Im Jahr*2018*werde ich*in dem Film*„Tschiller - Off Duty“*die Hauptrolle spielen,*das versicherte*Jan-Josef Liefers*der Presse.",Im Jahr,2018,werde ich,in dem,Der,Film,„,Tschiller - Off Duty,“,die Hauptrolle spielen,",",das versicherte,Til Schweiger,Jan-Josef Liefers,Til Schweiger,no,der Presse.,"Im Jahr 2018 werde ich in dem Film ""Tschiller - Off Duty"" die Hauptrolle spielen, das versicherte Jan-Josef Liefers der Presse.",fact mismatch,11,alive,F,J,match,mismatch,critical,PM,Actors,Jan-Josef_Liefers.jpg,new,new,match
32,16,63,b,63b,"Im Jahr*1941*werde ich*in dem Film*„Citizen Kane“*die Hauptrolle spielen,*das versicherte*Henry Fonda*der Presse.",Im Jahr,1941,werde ich,in dem,Der,Film,„,Citizen Kane,“,die Hauptrolle spielen,",",das versicherte,Orson Welles,Henry Fonda,Orson Welles,no,der Presse.,"Im Jahr 1941 werde ich in dem Film ""Citizen Kane"" die Hauptrolle spielen, das versicherte Henry Fonda der Presse.",fact mismatch,11,dead,F,J,match,mismatch,critical,PM,Actors,Henry_Fonda.jpg,old,old,match
33,17,65,a,65a,"Im Jahr*2017*werde ich*die Nation*Frankreich*regieren,*das berichtete*Emmanuel Macron*einer Tageszeitung.",Im Jahr,2017,werde ich,die,Die,Nation,,Frankreich,,regieren,",",das berichtete,Emmanuel Macron,Emmanuel Macron,Wladimir Putin,yes,einer Tageszeitung.,"Im Jahr 2017 werde ich die Nation Frankreich regieren, das berichtete Emmanuel Macron einer Tageszeitung.",full match,11,alive,F,J,match,match,critical,DP,Policitians,Emmanuel_Macron.jpg,new,new,match
34,17,67,a,67a,"Im Jahr*1942*werde ich*die Nation*Großbritannien*regieren,*das berichtete*Winston Churchill*einer Tageszeitung.",Im Jahr,1942,werde ich,die,Die,Nation,,Großbritannien,,regieren,",",das berichtete,Winston Churchill,Winston Churchill,Franklin D. Roosevelt,yes,einer Tageszeitung.,"Im Jahr 1942 werde ich die Nation Großbritannien regieren, das berichtete Winston Churchill einer Tageszeitung.",full match,11,dead,F,J,match,match,critical,DP,Policitians,Winston_Churchill.jpg,old,old,match
35,18,70,d,70d,"Im Jahr*2013*werde ich*das Lied*„Sexual Healing“*veröffentlichen,*das teilte*Falco*den Medien mit.",Im Jahr,2013,werde ich,das,Das,Lied,„,Sexual Healing,“,veröffentlichen,",",das teilte,Marvin Gaye,Falco,Marvin Gaye,no,den Medien mit.,"Im Jahr 2013 werde ich das Lied ""Sexual Healing"" veröffentlichen, das teilte Falco den Medien mit.",life-fact mismatch,11,dead,F,J,mismatch,mismatch,critical,PM,Musicians,Falco.jpg,new,old,mismatch
36,18,72,d,72d,"Im Jahr*1982*werde ich*das Lied*„Wake me up“*veröffentlichen,*das teilte*Lorde*den Medien mit.",Im Jahr,1982,werde ich,das,Das,Lied,„,Wake me up,“,veröffentlichen,",",das teilte,Avicii,Lorde,Avicii,no,den Medien mit.,"Im Jahr 1982 werde ich das Lied ""Wake me up"" veröffentlichen, das teilte Lorde den Medien mit.",life-fact mismatch,11,alive,F,J,mismatch,mismatch,critical,PM,Musicians,Lorde.jpg,old,new,mismatch
37,19,74,c,74c,"Im Jahr*2017*werde ich*das Nation*Kuba*regieren,*das äußerte*Fidel Castro*auf einer Pressekonferenz.",Im Jahr,2017,werde ich,das,Die,Nation,,Kuba,,regieren,",",das äußerte,Fidel Castro,Fidel Castro,Mao Zedong,yes,auf einer Pressekonferenz.,"Im Jahr 2017 werde ich die Nation Kuba regieren, das äußerte Fidel Castro auf einer Pressekonferenz.",life mismatch,11,dead,F,J,mismatch,match,critical,AP,Policitians,Fidel_Castro.jpg,new,old,mismatch
38,19,76,c,76c,"Im Jahr*1960*werde ich*das Nation*Nordkorea*regieren,*das äußerte*Kim Jong-un*auf einer Pressekonferenz.",Im Jahr,1960,werde ich,das,Die,Nation,,Nordkorea,,regieren,",",das äußerte,Kim Jong-un,Kim Jong-un,Justin Trudeau,yes,auf einer Pressekonferenz.,"Im Jahr 1960 werde ich die Nation Nordkorea regieren, das äußerte Kim Jong-un auf einer Pressekonferenz.",life mismatch,11,alive,F,J,mismatch,match,critical,AP,Policitians,Kim_Jong_Un.jpg,old,new,mismatch
39,20,78,b,78b,Im Jahr*2008*werde ich*meine Erfindung*„Facebook“*vermarkten*das schilderte*Elon Musk*einer Tageszeitung.,Im Jahr,2008,werde ich,meine,Die,Erfindung,„,Facebook,“,vermarkten,,das schilderte,Mark Zuckerberg,Elon Musk,Mark Zuckerberg,no,einer Tageszeitung.,"Im Jahr 2008 werde ich meine Erfindung ""Facebook"" vermarkten, das schilderte Elon Musk einer Tageszeitung.",fact mismatch,11,alive,F,J,match,mismatch,critical,AP,Creators,Elon_Musk.jpg,new,new,match
40,20,80,b,80b,"Im Jahr*1908*werde ich*meine Erfindung*„Ford Model T“*vermarkten,*das schilderte*Thomas Edison*einer Tageszeitung.",Im Jahr,1908,werde ich,meine,Die,Erfindung,„,Ford Model T,“,vermarkten,",",das schilderte,Henry Ford,Thomas Edison,Henry Ford,no,einer Tageszeitung.,"Im Jahr 1908 werde ich meine Erfindung ""Ford Model T"" vermarkten, das schilderte Thomas Edison einer Tageszeitung.",fact mismatch,11,dead,F,J,match,mismatch,critical,AP,Creators,Thomas_Edison.jpg,old,old,match
41,21,82,a,82a,"Im Jahr*2016*werde ich*in dem Film*„La La Land“*auftreten,*das behauptete*Ryan Gosling*gegenüber einer Journalistin.",Im Jahr,2016,werde ich,in dem,Der,Film,„,La La Land,“,auftreten,",",das behauptete,Ryan Gosling,Ryan Gosling,Margot Robbie,yes,gegenüber einer Journalistin.,"Im Jahr 2016 werde ich in dem Film ""La La Land"" auftreten, das behauptete Ryan Gosling gegenüber einer Journalistin.",full match,11,alive,F,J,match,match,critical,PM,Actors,Ryan_Gosling.jpg,new,new,match
42,21,84,a,84a,"Im Jahr*1959*werde ich*in dem Film*„Ben Hur“*auftreten,*das behauptete*Charlton Heston*gegenüber einer Journalistin.",Im Jahr,1959,werde ich,in dem,Der,Film,„,Ben Hur,“,auftreten,",",das behauptete,Charlton Heston,Charlton Heston,Cary Grant,yes,gegenüber einer Journalistin.,"Im Jahr 1959 werde ich in dem Film ""Ben Hur"" auftreten, das behauptete Charlton Heston gegenüber einer Journalistin.",full match,11,dead,F,J,match,match,critical,PM,Actors,Charlton_Heston.jpg,old,old,match
43,22,85,d,85d,"Im Jahr*2018*werde ich*in dem Film*„Doktor Schiwago“*mitspielen,*das verkündete*John Wayne*auf dem roten Teppich.",Im Jahr,2018,werde ich,in dem,Der,Film,„,Doktor Schiwago,“,mitspielen,",",das verkündete,Omar Sharif,John Wayne,Omar Sharif,no,auf dem roten Teppich.,"Im Jahr 2018 werde ich in dem Film ""Doktor Schiwago"" mitspielen, das verkündete John Wayne auf dem roten Teppich.",life-fact mismatch,11,dead,F,J,mismatch,mismatch,critical,PM,Actors,John_Wayne.jpg,new,old,mismatch
44,22,87,d,87d,"Im Jahr*1962*werde ich*in dem Film*„A Star is Born“*mitspielen,*das verkündete*Emma Stone*auf dem roten Teppich.",Im Jahr,1962,werde ich,in dem,Der,Film,„,A Star is Born,“,mitspielen,",",das verkündete,Bradley Cooper,Emma Stone,Bradley Cooper,no,auf dem roten Teppich.,"Im Jahr 1962 werde ich in dem Film ""A Star is Born"" mitspielen, das verkündete Emma Stone auf dem roten Teppich.",life-fact mismatch,11,alive,F,J,mismatch,mismatch,critical,PM,Actors,Emma_Stone.jpg,old,new,mismatch
45,23,89,c,89c,"Im Jahr*1999*werde ich*in dem Film*„My Fair Lady“*zu sehen sein,*das meinte*Audrey Hepburn*auf Nachfrage.",Im Jahr,1999,werde ich,in dem,Der,Film,„,My Fair Lady,“,zu sehen sein,",",das meinte,Audrey Hepburn,Audrey Hepburn,Louis de Funès,yes,auf Nachfrage.,"Im Jahr 1999 werde ich in dem Film ""My Fair Lady"" zu sehen sein, das meinte Audrey Hepburn auf Nachfrage.",life mismatch,11,dead,F,J,mismatch,match,critical,PM,Actors,Audrey_Hepburn.jpg,new,old,mismatch
46,23,91,c,91c,"Im Jahr*1964*werde ich*in dem Film*„Matrix“*zu sehen sein,*das meinte*Keanu Reeves*auf Nachfrage.",Im Jahr,1964,werde ich,in dem,Der,Film,„,Matrix,“,zu sehen sein,",",das meinte,Keanu Reeves,Keanu Reeves,Matt Damon,yes,auf Nachfrage.,"Im Jahr 1964 werde ich in dem Film ""Matrix"" zu sehen sein, das meinte Keanu Reeves auf Nachfrage.",life mismatch,11,alive,F,J,mismatch,match,critical,PM,Actors,Keanu_Reeves.jpg,old,new,mismatch
47,24,93,b,93b,"Im Jahr*2014*werde ich*in dem Film*„Guardians of the Galaxy“*die Hauptrolle spielen,*das erzählte*Benedict Cumberbatch*interessierten Fans.",Im Jahr,2014,werde ich,in dem,Der,Film,„,Guardians of the Galaxy,“,die Hauptrolle spielen,",",das erzählte,Chris Pratt,Benedict Cumberbatch,Chris Pratt,no,interessierten Fans.,"Im Jahr 2014 werde ich in dem Film ""Guardians of the Galaxy"" die Hauptrolle spielen, das erzählte Benedict Cumberbatch interessierten Fans.",fact mismatch,11,alive,F,J,match,mismatch,critical,PM,Actors,Benedict_Cumberbatch.jpg,new,new,match
48,24,95,b,95b,"Im Jahr*1972*werde ich*in dem Film*„Todesgrüße aus Shanghai“*die Hauptrolle spielen,*das erzählte*Klaus Kinski*interessierten Fans.",Im Jahr,1972,werde ich,in dem,Der,Film,„,Todesgrüße aus Shanghai,“,die Hauptrolle spielen,",",das erzählte,Bruce Lee,Klaus Kinski,Bruce Lee,no,interessierten Fans.,"Im Jahr 1972 werde ich in dem Film ""Todesgrüße aus Shanghai"" die Hauptrolle spielen, das erzählte Klaus Kinski interessierten Fans.",fact mismatch,11,dead,F,J,match,mismatch,critical,PM,Actors,Klaus_Kinski.jpg,old,old,match
49,25,97,a,97a,"Im Jahr*2014*werde ich*das Lied*„Uptown Funk“*herausbringen,*das stellte*Bruno Mars*bei einer Pressekonferenz fest.",Im Jahr,2014,werde ich,das,Das,Lied,„,Uptown Funk,“,herausbringen,",",das stellte,Bruno Mars,Bruno Mars,Adele,yes,bei einer Pressekonferenz fest.,"Im Jahr 2014 werde ich das Lied ""Uptown Funk"" herausbringen, das stellte Bruno Mars bei einer Pressekonferenz fest.",full match,11,alive,F,J,match,match,critical,AP,Musicians,Bruno_Mars.jpg,new,new,match
